FECHA,CODPRO,CANTID,NETO
10/07/2018,DS462912,1,94490
10/07/2018,DS453476,1,16490
10/07/2018,DS463110,2,36980
10/07/2018,DS460942,1,10490
10/07/2018,DS453276,2,10980
10/07/2018,DS460810,2,22980
10/07/2018,DS460940,1,10490
10/07/2018,DS463541,2,39800
10/07/2018,DS463535,1,72200
10/07/2018,DS461273,1,9490
10/07/2018,DS462482,1,19490
10/07/2018,DS462877,2,19980
10/07/2018,DS459026,1,11490
10/07/2018,DS462773,1,96490
10/07/2018,DS463278,1,70490
10/07/2018,DS462819,3,12579
10/07/2018,DS460954,6,56940
10/07/2018,DS462906,1,14990
10/07/2018,DS460567,1,1490
10/07/2018,DS462687,1,16490
10/07/2018,DS463537,1,4490
10/07/2018,DS463538,1,6990
10/07/2018,DS463479,1,4490
10/07/2018,DS460936,1,11400
10/07/2018,DS462415,1,27100
10/07/2018,DS451505,1,55490
10/07/2018,DS461164,1,119990
10/07/2018,DS451726,1,7990
10/07/2018,DS453142,1,18490
10/07/2018,DS460033,2,17980
10/07/2018,DS453998,1,96990
10/07/2018,DS455654,1,51490
10/07/2018,DS463224,1,12990
10/07/2018,DS455249,4,11660
10/07/2018,DS455250,4,11660
10/07/2018,DS455251,4,11660
10/07/2018,DS462802,1,34490
10/07/2018,DS451794,1,15494
10/07/2018,DS451794,1,9490
10/07/2018,DS463505,1,25990
10/07/2018,DS463471,1,15042
10/07/2018,DS460567,1,1490
10/07/2018,DS460978,1,8990
10/07/2018,DS460665,2,21980
10/07/2018,DS460810,2,22980
10/07/2018,DS454625,1,6490
10/07/2018,DS462843,1,7990
10/07/2018,DS453142,4,73960
10/07/2018,DS463519,1,26990
10/07/2018,DS460244,1,46490
10/07/2018,DS454625,2,12980
10/07/2018,DS457861,1,14490
10/07/2018,DS463531,2,19980
10/07/2018,DS463539,1,97990
10/07/2018,DS452716,1,21490
10/07/2018,DS455804,1,47490
10/07/2018,DS461214,5,152450
10/07/2018,DS463544,2,26980
10/07/2018,DS461562,1,7555
10/07/2018,DS462677,1,4193
10/07/2018,DS461053,1,9490
10/07/2018,DS453686,1,44490
10/07/2018,DS452715,2,61980
10/07/2018,DS460975,1,17990
10/07/2018,DS461262,1,18490
10/07/2018,DS460940,1,10490
10/07/2018,DS463268,1,10990
10/07/2018,DS461193,1,12490
10/07/2018,DS454759,1,22990
