FECHA,CANTID,NETO
30/04/2018,1,2915
30/04/2018,1,2915
30/04/2018,5,704795
30/04/2018,2,30142
30/04/2018,1,35495
02/05/2018,1,21698
02/05/2018,1,40822
02/05/2018,1,10763
02/05/2018,1,10251
02/05/2018,1,73779
02/05/2018,1,47848
02/05/2018,1,37574
02/05/2018,1,55412
02/05/2018,1,46200
02/05/2018,1,35159
02/05/2018,1,29008
02/05/2018,2,27360
04/05/2018,1,11379
04/05/2018,1,29060
04/05/2018,1,55740
04/05/2018,2,24956
04/05/2018,1,55740
04/05/2018,1,14500
04/05/2018,1,84424
04/05/2018,4,23032
04/05/2018,1,32288
04/05/2018,1,15048
04/05/2018,2,17552
04/05/2018,1,2915
04/05/2018,1,2915
04/05/2018,1,2915
04/05/2018,1,34617
04/05/2018,2,31000
04/05/2018,2,31000
04/05/2018,1,14000
04/05/2018,1,167096
04/05/2018,1,7086
04/05/2018,1,72577
04/05/2018,1,117349
04/05/2018,1,12814
07/05/2018,1,89545
07/05/2018,1,5900
07/05/2018,1,11336
07/05/2018,1,27706
07/05/2018,1,2915
07/05/2018,1,2915
07/05/2018,1,2915
07/05/2018,1,2915
07/05/2018,1,24366
07/05/2018,1,13636
07/05/2018,1,16876
07/05/2018,1,279914
07/05/2018,1,18900
07/05/2018,1,22400
07/05/2018,4,11660
07/05/2018,2,5830
07/05/2018,1,2915
08/05/2018,1,56313
08/05/2018,1,27671
08/05/2018,1,2915
08/05/2018,1,2915
08/05/2018,1,2915
08/05/2018,1,16164
09/05/2018,1,25074
09/05/2018,1,2915
09/05/2018,2,5830
09/05/2018,1,19126
09/05/2018,1,453108
09/05/2018,1,11520
09/05/2018,6,51816
09/05/2018,1,13500
09/05/2018,3,37800
09/05/2018,1,21667
09/05/2018,1,13568
09/05/2018,1,268179
09/05/2018,2,13500
09/05/2018,1,45730
09/05/2018,1,46480
09/05/2018,1,13022
09/05/2018,1,55740
09/05/2018,2,118752
09/05/2018,1,14272
09/05/2018,1,10626
09/05/2018,2,53752
09/05/2018,1,78168
09/05/2018,2,22316
09/05/2018,1,74900
10/05/2018,1,5094
10/05/2018,1,65309
10/05/2018,1,59599
10/05/2018,3,65904
10/05/2018,12,263616
10/05/2018,26,571168
10/05/2018,19,417392
10/05/2018,4,87872
10/05/2018,3,65904
10/05/2018,2,43936
10/05/2018,3,65904
10/05/2018,3,65904
10/05/2018,12,263616
10/05/2018,26,571168
10/05/2018,19,417392
10/05/2018,4,87872
10/05/2018,3,65904
10/05/2018,2,43936
10/05/2018,3,65904
10/05/2018,1,11414
10/05/2018,1,66767
10/05/2018,3,8745
10/05/2018,1,10251
10/05/2018,1,78068
10/05/2018,1,254442
10/05/2018,1,68869
10/05/2018,1,30219
10/05/2018,1,14896
10/05/2018,1,13134
10/05/2018,1,38543
10/05/2018,1,42500
10/05/2018,1,12054
10/05/2018,1,23855
10/05/2018,1,25626
10/05/2018,1,56647
10/05/2018,4,27648
10/05/2018,1,4952
10/05/2018,1,12320
10/05/2018,1,39467
10/05/2018,2,32200
10/05/2018,1,237542
10/05/2018,1,107803
10/05/2018,1,16614
10/05/2018,1,27671
10/05/2018,1,339843
10/05/2018,1,9784
10/05/2018,1,85035
10/05/2018,1,167096
10/05/2018,2,26550
10/05/2018,1,10726
10/05/2018,1,336887
10/05/2018,3,33753
10/05/2018,41,276750
10/05/2018,1,33314
10/05/2018,2,113294
10/05/2018,1,32814
10/05/2018,2,14564
10/05/2018,1,33180
10/05/2018,1,37440
10/05/2018,1,13568
10/05/2018,1,87450
10/05/2018,3,26958
10/05/2018,2,25600
10/05/2018,2,5830
10/05/2018,2,5830
10/05/2018,2,5830
10/05/2018,2,5830
10/05/2018,1,13134
10/05/2018,1,17430
10/05/2018,2,671086
10/05/2018,1,19455
10/05/2018,1,22664
10/05/2018,1,36587
11/05/2018,1,10626
11/05/2018,1,20000
14/05/2018,1,11520
14/05/2018,3,65904
14/05/2018,2,43936
14/05/2018,3,65904
14/05/2018,4,87872
14/05/2018,19,417392
14/05/2018,26,571168
14/05/2018,12,263616
14/05/2018,3,65904
15/05/2018,2,52000
15/05/2018,1,316430
15/05/2018,3,36009
15/05/2018,1,2915
15/05/2018,1,2915
15/05/2018,1,2915
15/05/2018,1,2915
15/05/2018,1,52386
15/05/2018,1,2915
15/05/2018,1,2915
15/05/2018,1,2915
15/05/2018,1,2915
15/05/2018,1,6966
15/05/2018,1,16434
15/05/2018,1,108619
15/05/2018,1,9664
15/05/2018,1,6740
15/05/2018,1,54290
15/05/2018,4,117856
15/05/2018,20,256120
15/05/2018,20,98880
15/05/2018,3,30270
15/05/2018,1,75636
15/05/2018,1,207080
15/05/2018,1,120232
15/05/2018,1,39000
15/05/2018,1,9414
16/05/2018,2,59164
16/05/2018,2,24956
17/05/2018,2,29000
17/05/2018,1,81026
17/05/2018,1,11336
17/05/2018,3,101970
17/05/2018,2,72534
17/05/2018,1,8986
17/05/2018,1,1574
17/05/2018,1,28300
17/05/2018,1,98600
17/05/2018,1,38543
17/05/2018,1,123316
17/05/2018,2,21548
17/05/2018,2,23254
17/05/2018,1,11414
17/05/2018,1,48854
17/05/2018,1,27300
18/05/2018,1,16990
18/05/2018,4,11660
18/05/2018,2,5830
18/05/2018,2,5830
18/05/2018,2,5830
18/05/2018,1,10131
18/05/2018,2,97980
18/05/2018,1,34008
18/05/2018,1,2915
18/05/2018,1,2915
18/05/2018,1,2915
18/05/2018,1,2915
18/05/2018,1,15500
18/05/2018,1,14000
18/05/2018,1,25990
18/05/2018,6,53940
18/05/2018,6,74940
18/05/2018,2,146980
18/05/2018,1,27344
18/05/2018,1,14490
18/05/2018,4,15960
18/05/2018,2,1004980
18/05/2018,2,23980
18/05/2018,1,53770
18/05/2018,1,2915
18/05/2018,1,12600
18/05/2018,1,17550
18/05/2018,1,43990
18/05/2018,1,265490
18/05/2018,4,56000
18/05/2018,1,8874
18/05/2018,1,13568
18/05/2018,1,6826
18/05/2018,1,101990
18/05/2018,10,48160
18/05/2018,1,10703
18/05/2018,1,46990
18/05/2018,3,20970
18/05/2018,13,25870
18/05/2018,2,285980
18/05/2018,1,10490
18/05/2018,1,13490
22/05/2018,41,276750
22/05/2018,3,33753
23/05/2018,1,22490
23/05/2018,1,499490
23/05/2018,1,2915
23/05/2018,1,2915
23/05/2018,1,2915
23/05/2018,1,2915
23/05/2018,2,40980
23/05/2018,1,169990
23/05/2018,4,239960
23/05/2018,2,44980
23/05/2018,1,12500
23/05/2018,1,26990
23/05/2018,1,123490
23/05/2018,2,5830
23/05/2018,1,72990
23/05/2018,2,2543980
23/05/2018,2,21980
23/05/2018,1,90990
24/05/2018,5,84950
24/05/2018,1,117149
24/05/2018,1,57990
24/05/2018,2,450980
24/05/2018,10,349900
24/05/2018,3,20970
24/05/2018,1,13490
24/05/2018,1,100990
24/05/2018,1,59990
24/05/2018,1,76490
24/05/2018,1,1243990
24/05/2018,1,1425490
24/05/2018,1,1689490
24/05/2018,1,193750
24/05/2018,1,115990
28/05/2018,2,52000
28/05/2018,1,9490
28/05/2018,2,25980
28/05/2018,1,16990
28/05/2018,2,10980
28/05/2018,2,20980
28/05/2018,4,53960
29/05/2018,1,10990
29/05/2018,1,8990
29/05/2018,1,2915
29/05/2018,1,2915
29/05/2018,1,2915
29/05/2018,1,2915
29/05/2018,15,43725
29/05/2018,1,84000
29/05/2018,1,24490
29/05/2018,1,18990
29/05/2018,2,105980
29/05/2018,1,10490
29/05/2018,3,41970
29/05/2018,2,32980
29/05/2018,4,43960
29/05/2018,12,713880
29/05/2018,4,11660
29/05/2018,2,5830
29/05/2018,2,5830
29/05/2018,2,5830
29/05/2018,1,264490
29/05/2018,1,32814
29/05/2018,1,59414
29/05/2018,2,21980
29/05/2018,1,23990
29/05/2018,1,20490
29/05/2018,1,20990
29/05/2018,1,46990
29/05/2018,1,532990
29/05/2018,1,50490
29/05/2018,1,57990
29/05/2018,1,21490
29/05/2018,1,67318
29/05/2018,1,25990
29/05/2018,1,6990
29/05/2018,1,158490
29/05/2018,1,20490
29/05/2018,1,34490
29/05/2018,1,10990
29/05/2018,2,77980
29/05/2018,1,22490
29/05/2018,3,20970
29/05/2018,1,40990
29/05/2018,1,68490
29/05/2018,1,34990
29/05/2018,1,10990
29/05/2018,1,436990
29/05/2018,5,87450
29/05/2018,1,20490
29/05/2018,1,364490
29/05/2018,2,501980
29/05/2018,1,10490
31/05/2018,1,2915
31/05/2018,4,57960
31/05/2018,2,20980
31/05/2018,1,11490
31/05/2018,3,89970
31/05/2018,1,53490
31/05/2018,1,14490
31/05/2018,1,56647
31/05/2018,1,14896
31/05/2018,1,38543
31/05/2018,3,8745
31/05/2018,1,2915
31/05/2018,1,2915
31/05/2018,1,2915
31/05/2018,3,32970
31/05/2018,1,29490
31/05/2018,5,84950
31/05/2018,1,22490
31/05/2018,3,5970
31/05/2018,1,170490
31/05/2018,1,4990
31/05/2018,1,29990
31/05/2018,1,10990
31/05/2018,2,17980
04/06/2018,1,17990
04/06/2018,1,27490
04/06/2018,1,8490
04/06/2018,1,205990
04/06/2018,1,55490
04/06/2018,1,171990
04/06/2018,1,15331
04/06/2018,1,25490
04/06/2018,1,13490
04/06/2018,1,163990
04/06/2018,1,2915
04/06/2018,1,2915
04/06/2018,1,16990
05/06/2018,1,5490
05/06/2018,1,23990
05/06/2018,1,13490
05/06/2018,1,17490
05/06/2018,1,21990
05/06/2018,1,22990
05/06/2018,1,19490
05/06/2018,1,27990
05/06/2018,1,20490
05/06/2018,1,5990
05/06/2018,3,26970
05/06/2018,1,131490
05/06/2018,1,23990
05/06/2018,2,22980
05/06/2018,1,7490
05/06/2018,1,34990
05/06/2018,1,12490
05/06/2018,1,16490
05/06/2018,3,173970
05/06/2018,1,502490
05/06/2018,5,84950
06/06/2018,5,27450
06/06/2018,1,63990
06/06/2018,1,33990
06/06/2018,1,34990
06/06/2018,1,1527490
06/06/2018,1,59490
06/06/2018,1,613990
06/06/2018,1,510490
06/06/2018,1,2915
06/06/2018,1,2915
06/06/2018,1,2915
06/06/2018,1,2915
06/06/2018,1,39000
06/06/2018,1,55490
06/06/2018,1,11490
06/06/2018,1,31490
06/06/2018,1,47490
06/06/2018,1,21490
06/06/2018,3,20970
06/06/2018,1,1490
06/06/2018,1,172990
06/06/2018,1,12490
06/06/2018,1,77490
06/06/2018,3,34470
06/06/2018,2,22980
06/06/2018,3,8745
07/06/2018,2,110980
08/06/2018,1,18490
08/06/2018,1,63990
08/06/2018,1,5490
08/06/2018,1,54990
08/06/2018,1,46990
08/06/2018,1,78990
08/06/2018,2,42980
08/06/2018,5,84950
08/06/2018,1,187990
08/06/2018,2,62980
08/06/2018,2,32980
08/06/2018,2,41980
08/06/2018,1,22490
08/06/2018,1,27990
08/06/2018,1,6990
08/06/2018,1,9990
08/06/2018,1,33490
08/06/2018,1,10490
08/06/2018,1,10490
08/06/2018,1,14490
08/06/2018,1,2915
08/06/2018,1,2915
08/06/2018,2,456980
08/06/2018,2,20980
08/06/2018,1,260490
08/06/2018,1,368990
08/06/2018,1,62490
08/06/2018,2,24980
11/06/2018,15,502350
11/06/2018,1,47490
11/06/2018,1,8990
11/06/2018,1,11990
12/06/2018,1,10490
12/06/2018,1,5490
12/06/2018,1,189490
12/06/2018,2,118980
12/06/2018,2,22980
12/06/2018,2,42980
12/06/2018,1,50490
12/06/2018,1,132990
12/06/2018,1,16990
12/06/2018,2,56980
12/06/2018,2,161980
12/06/2018,1,1490
12/06/2018,2,7980
12/06/2018,5,129950
12/06/2018,1,24490
12/06/2018,4,41960
12/06/2018,1,66990
12/06/2018,1,26490
12/06/2018,1,22990
12/06/2018,1,15990
12/06/2018,2,37980
12/06/2018,1,90990
12/06/2018,1,476990
12/06/2018,1,47990
12/06/2018,1,22990
12/06/2018,1,91490
12/06/2018,1,95990
12/06/2018,1,21490
12/06/2018,1,45969
12/06/2018,1,46178
12/06/2018,1,45375
12/06/2018,1,6567
12/06/2018,1,22220
12/06/2018,1,18535
12/06/2018,1,23925
12/06/2018,1,25300
12/06/2018,1,20900
12/06/2018,1,25300
12/06/2018,1,10010
12/06/2018,1,6380
12/06/2018,1,5500
12/06/2018,1,14080
13/06/2018,2,20980
13/06/2018,2,166980
13/06/2018,1,125990
13/06/2018,1,31490
13/06/2018,2,17980
13/06/2018,1,10990
13/06/2018,1,10490
13/06/2018,1,19490
13/06/2018,1,12490
13/06/2018,1,8990
13/06/2018,1,10490
13/06/2018,1,14990
13/06/2018,1,10990
13/06/2018,1,116990
13/06/2018,1,108490
13/06/2018,1,46990
14/06/2018,1,41990
14/06/2018,1,15490
14/06/2018,1,72990
14/06/2018,1,20990
14/06/2018,1,18490
14/06/2018,1,34490
14/06/2018,1,19490
14/06/2018,1,10990
14/06/2018,2,36980
14/06/2018,5,54950
14/06/2018,1,8490
14/06/2018,1,12490
14/06/2018,2,5830
14/06/2018,1,2915
14/06/2018,1,2915
14/06/2018,1,20490
14/06/2018,1,14990
14/06/2018,1,27990
14/06/2018,1,79490
14/06/2018,1,235990
14/06/2018,1,5490
14/06/2018,1,10490
14/06/2018,2,36980
14/06/2018,2,110980
14/06/2018,7,150430
14/06/2018,1,11990
14/06/2018,4,61960
14/06/2018,1,11990
14/06/2018,2,98980
14/06/2018,3,1160970
14/06/2018,1,173990
14/06/2018,1,47490
14/06/2018,20,129800
14/06/2018,2,21980
14/06/2018,2,233980
14/06/2018,1,188490
14/06/2018,1,54990
14/06/2018,1,136490
14/06/2018,1,432490
14/06/2018,1,15494
14/06/2018,1,11400
14/06/2018,1,2915
14/06/2018,2,27980
14/06/2018,1,24990
14/06/2018,4,43960
14/06/2018,1,21490
14/06/2018,4,43960
14/06/2018,4,47960
14/06/2018,1,76490
14/06/2018,2,21980
14/06/2018,1,20490
14/06/2018,1,11490
14/06/2018,2,13980
15/06/2018,1,20990
15/06/2018,1,84990
15/06/2018,6,107940
15/06/2018,2,22980
15/06/2018,1,31990
15/06/2018,1,47490
15/06/2018,1,10990
15/06/2018,1,27723
15/06/2018,1,68990
15/06/2018,1,11990
15/06/2018,1,206490
15/06/2018,2,13980
15/06/2018,1,34490
15/06/2018,4,195416
15/06/2018,1,33990
15/06/2018,2,16980
15/06/2018,1,58990
15/06/2018,1,5490
15/06/2018,2,13980
15/06/2018,2,20980
15/06/2018,4,5960
15/06/2018,1,33990
18/06/2018,1,13490
18/06/2018,1,189490
18/06/2018,1,11490
18/06/2018,1,37807
18/06/2018,4,49960
18/06/2018,5,62450
18/06/2018,2,110980
18/06/2018,2,59000
18/06/2018,4,75960
18/06/2018,3,10470
18/06/2018,1,12490
